광역지자체,방문자수,소비액,전년대비소비증감률,평균숙박기간sqrt,면적_제곱킬로미터,시가화면적_제곱km,정류장수,공급도,평균요금,접근소요시간_분,환승이동시간_분,환승대기시간_분,수단통행량,목적통행량,수단목적비
서울특별시,8977179,3856403320,159.1,2.191901,605.21,372,15360,41.3,1401.714286,15.43,5.91,7.09,294870570,228707917,1.3
부산광역시,2210376,444899970,185.2,1.67281,769.89,236.45,8178,34.6,1299.571429,15.83,6.14,6.85,62944378,52044834,1.2
대구광역시,335036,49268238,59.5,1.752685,885.22,182.35,3173,17.4,1221,15.74,6.24,6.58,24742327,20936298,1.2
인천광역시,5576179,513453356,171.4,1.481041,1067.04,214.01,6016,28.1,1401.285714,15.71,6.13,6.86,39863337,31699387,1.3
광주광역시,126989,16372318,76.2,1.787229,501.02,122.69,2150,17.5,1178.714286,17.5,6.14,6.32,9402510,7793368,1.2
대전광역시,180601,37563363,57,1.991891,539.67,96.79,2606,26.9,1207.428571,16.27,6.16,6.36,13715546,10774931,1.3
울산광역시,359862,13950955,44.2,1.867823,1062.83,163.02,2779,17,1303.857143,16.69,6.09,6.29,6398785,5713795,1.1
세종특별자치시,51758,2444526,60.2,1.313284,464.92,44.41,1179,26.5,1472,16.73,6.46,8.63,1638617,1398911,1.2
경기도,3541064,500444008,54.1,1.459845,10199.7,1318.53,34078,25.8,1591,16.2,6.6,8.36,150339558,116449494,1.3
충청북도,308688,15859823,77,2.011606,7407.4,383.09,4061,10.6,1386.857143,17.38,7.39,9.08,4663649,4114880,1.1
충청남도,619241,21068368,38.8,2.059551,8247.21,331.18,5007,15.1,1377.857143,17.21,7.24,9.09,7750504,7111363,1.1
전라남도,617207,16027371,77.8,1.977624,12360.52,375.32,4553,12.1,1391.142857,17.47,8.16,9.12,5021879,4505082,1.1
경상북도,450324,35293261,96,1.070003,19036.37,489.07,6421,13.1,1280.857143,17.26,7.56,8.96,7180475,6047716,1.2
경상남도,930657,37975877,51.6,2.058506,10541.73,871.4,8199,9.4,1378,17.13,7.3,8.47,13768148,11834375,1.2
제주특별자치도,1382483,197287942,313.3,1.872052,1850.23,65.28,3414,52.3,1516.142857,17.24,6.8,8.8,4573634,4038669,1.1
강원특별자치도,488723,38973651,49,0.5764978,16830.14,199.59,6106,30.6,1160,17.26,7.65,9.31,3634290,3285750,1.1
전북특별자치도,354066,21806692,50,1.60988,8073.3,261.87,3698,14.1,1366.571429,17.39,7.55,8.6,5055831,4594263,1.1
